File Name,Version,Size,Number of Smells,Churn,Max Churn,Avg Churn,Chg Set Size,Max Chg Set Size,Avg Chg Set Size,LOC Added,MAX LOC Added,AVG LOC Added,Number of Revisions,Number of Authors,Age in Weeks,Total Lines Touched,Weighted Age,Number of bugs
src/main/java/org/apache/tika/parser/ParserDecorator.java,0.1-incubating,60,0,0,0,0,19,18,15.5,2,1,1,2,1,68,4,17,No
src/main/java/org/apache/tika/parser/pdf/PDFParser.java,0.1-incubating,92,2,0,18,0,19,18,15.5,18,18,9,2,1,68,36,1.888888889,No
src/main/java/org/apache/tika/parser/opendocument/OpenOfficeParser.java,0.1-incubating,149,2,73,83,14.6,46,22,12.6,167,116,33.4,5,2,68,261,0.260536398,Yes
src/test/java/org/apache/tika/mime/MimeTypesTest.java,0.1-incubating,145,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,Yes
src/main/java/org/apache/tika/mime/MimeTypes.java,0.1-incubating,360,2,0,0,0,0,0,0,0,0,0,0,0,63,0,0,Yes
src/test/java/org/apache/tika/metadata/TestSpellCheckedMetadata.java,0.1-incubating,261,0,0,0,0,0,0,0,1,1,1,1,1,78,2,39,No
src/test/java/org/apache/tika/utils/RegexUtilsTest.java,0.1-incubating,79,0,0,0,0,52,52,52,79,79,79,1,1,50,158,0.316455696,No
src/main/java/org/apache/tika/parser/microsoft/OfficeParser.java,0.1-incubating,183,2,12,91,1.714285714,32,18,7.428571429,171,97,24.42857143,7,1,61,330,0.184848485,Yes
src/main/java/org/apache/tika/parser/EmptyParser.java,0.1-incubating,43,0,2,3,1,19,18,15.5,6,3,3,2,1,68,10,6.8,No
src/main/java/org/apache/tika/mime/Operator.java,0.1-incubating,69,2,0,0,0,0,0,0,0,0,0,0,0,63,0,0,Yes
src/test/java/org/apache/tika/TestRereadableInputStream.java,0.1-incubating,149,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,No
